Bruises;Crowded gills;Broad gills;Tapering stalk;White veil;Ring-number;Poisonous;cap-shape is x;cap-shape is b;cap-shape is s;cap-shape is f;cap-shape is k;cap-shape is c;cap-surface is s;cap-surface is y;cap-surface is f;cap-surface is g;cap-color is n;cap-color is y;cap-color is w;cap-color is g;cap-color is e;cap-color is p;cap-color is b;cap-color is u;cap-color is c;cap-color is r;odor is p;odor is a;odor is l;odor is n;odor is f;odor is c;odor is y;odor is s;odor is m;gill-color is k;gill-color is n;gill-color is g;gill-color is p;gill-color is w;gill-color is h;gill-color is u;gill-color is e;gill-color is b;gill-color is r;gill-color is y;gill-color is o;stalk-surface-above-ring is s;stalk-surface-above-ring is f;stalk-surface-above-ring is k;stalk-surface-above-ring is y;stalk-surface-below-ring is s;stalk-surface-below-ring is f;stalk-surface-below-ring is y;stalk-surface-below-ring is k;stalk-color-above-ring is w;stalk-color-above-ring is g;stalk-color-above-ring is p;stalk-color-above-ring is n;stalk-color-above-ring is b;stalk-color-above-ring is e;stalk-color-above-ring is o;stalk-color-above-ring is c;stalk-color-above-ring is y;stalk-color-below-ring is w;stalk-color-below-ring is p;stalk-color-below-ring is g;stalk-color-below-ring is b;stalk-color-below-ring is n;stalk-color-below-ring is e;stalk-color-below-ring is y;stalk-color-below-ring is o;stalk-color-below-ring is c;ring-type is p;ring-type is e;ring-type is l;ring-type is f;ring-type is n;spore-print-color is k;spore-print-color is n;spore-print-color is u;spore-print-color is h;spore-print-color is w;spore-print-color is r;spore-print-color is o;spore-print-color is y;spore-print-color is b;population is s;population is n;population is a;population is v;population is y;population is c;habitat is u;habitat is g;habitat is m;habitat is d;habitat is p;habitat is w;habitat is l
1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
1;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
